O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
7,MOHAMMAD JUNED MEMON,Independent,56,0,56,0.06,Gujarat-Surat North -160
8,MOHAMMAD IMTIYAZ YUSUF BHAI SHAIKH,Independent,177,0,177,0.18,Gujarat-Surat North -160
9,SIRAJKHAN PATHAN,Independent,83,0,83,0.09,Gujarat-Surat North -160
10,NOTA,None of the Above,828,3,831,0.86,Gujarat-Surat North -160
1,KISHOR KANANI (KUMAR),Bharatiya Janata Party,67117,89,67206,55.13,Gujarat-Varachha Road -161
2,PYARELAL BHARTI,Bahujan Samaj Party,284,0,284,0.23,Gujarat-Varachha Road -161
3,PRAFULBHAI TOGADIYA (PAPANBHAI),Indian National Congress,2939,1,2940,2.41,Gujarat-Varachha Road -161
4,ALPESH KATHIRIYA,Aam Aadmi Party,50285,87,50372,41.32,Gujarat-Varachha Road -161
5,MAHAJAN PRATIBHABEN PANKAJBHAI,Sardar Vallabhbhai Patel Party,228,0,228,0.19,Gujarat-Varachha Road -161
6,NOTA,None of the Above,875,3,878,0.72,Gujarat-Varachha Road -161
1,PRAVINBHAI MANJIBHAI GHOGHARI,Bharatiya Janata Party,60441,52,60493,67.67,Gujarat-Karanj -162
2,BHARTI PRAKASHBHAI PATEL,Indian National Congress,2950,4,2954,3.3,Gujarat-Karanj -162
3,MANOJ SORATHIYA,Aam Aadmi Party,24438,81,24519,27.43,Gujarat-Karanj -162
4,LADUMOR MAHESHBHAI KABABHAI (AHIR),Right to Recall Party,214,4,218,0.24,Gujarat-Karanj -162
5,VAGHELA DINESH,National Maha Sabha Party,93,0,93,0.1,Gujarat-Karanj -162
6,ANWAR HAMID SHAIKH,Independent,91,0,91,0.1,Gujarat-Karanj -162
7,ARUNBHAI MANSUKHLAL PARMAR,Independent,116,0,116,0.13,Gujarat-Karanj -162
8,RAMESHBHAI PARSHOTAMBHAI BARAIYA,Independent,149,0,149,0.17,Gujarat-Karanj -162
9,NOTA,None of the Above,755,1,756,0.85,Gujarat-Karanj -162
1,Ayaz Kazi,Bahujan Samaj Party,971,1,972,0.54,Gujarat-Limbayat -163
