O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
1,JAT MAMAD JUNG,Indian National Congress,70423,341,70764,43.37,Gujarat-Abdasa -1
2,JADEJA PRADHYUMANSINH MAHIPATSINH,Bharatiya Janata Party,79298,897,80195,49.15,Gujarat-Abdasa -1
3,MEGHWAL NAGSHI KHAMUBHAI,Bahujan Samaj Party,1022,20,1042,0.64,Gujarat-Abdasa -1
4,K. D. JADEJA,Praja Vijay Paksh,299,5,304,0.19,Gujarat-Abdasa -1
5,JOSHI JAGDISHCHANDRA KAKULAL,Samajwadi Party,195,2,197,0.12,Gujarat-Abdasa -1
6,VASANTBHAI VALJI KHETANI,Aam Aadmi Party,1606,98,1704,1.04,Gujarat-Abdasa -1
7,MAMUBHAI MANDABHAI RABARI,Independent,1722,13,1735,1.06,Gujarat-Abdasa -1
8,UTHAR RAZAK ALIMAMAD,Independent,437,13,450,0.28,Gujarat-Abdasa -1
9,BHANUSHALI SURESH MANJI MANGE,Independent,337,0,337,0.21,Gujarat-Abdasa -1
10,HAKUMATSINH JUVANSINH JADEJA,Independent,3474,28,3502,2.15,Gujarat-Abdasa -1
11,NOTA,None of the Above,2925,17,2942,1.8,Gujarat-Abdasa -1
1,Aniruddha Bhailal Dave,Bharatiya Janata Party,89747,556,90303,53.3,Gujarat-Mandvi -2
2,Kishorbhai Dheda,Bahujan Samaj Party,1817,29,1846,1.09,Gujarat-Mandvi -2
3,Rajendrasinh A. Jadeja,Indian National Congress,41768,238,42006,24.79,Gujarat-Mandvi -2
4,Kailasdan K. Gadhvi,Aam Aadmi Party,22501,290,22791,13.45,Gujarat-Mandvi -2
5,Advocate Mahamadiqbal Manjaliya,All India Majlis-E-Ittehadul Muslimeen,8477,17,8494,5.01,Gujarat-Mandvi -2
6,Vachhiya Lakhmir Rabari,Praja Vijay Paksh,373,6,379,0.22,Gujarat-Mandvi -2
7,Sameja Abdulkarim Amad,Independent,660,3,663,0.39,Gujarat-Mandvi -2
8,Sangar  Shivji Budhiya,Independent,517,0,517,0.31,Gujarat-Mandvi -2
9,NOTA,None of the Above,2411,16,2427,1.43,Gujarat-Mandvi -2
1,ARJAN BHUDIA,Indian National Congress,36495,273,36768,20.4,Gujarat-Bhuj -3
2,KESHUBHAI SHIVDAS PATEL,Bharatiya Janata Party,95746,836,96582,53.59,Gujarat-Bhuj -3
3,SAIYAD JUSABSHA MAMADSHA,Bahujan Samaj Party,1032,11,1043,0.58,Gujarat-Bhuj -3
4,NODE KASAM MOHAMAD,Right to Recall Party,445,3,448,0.25,Gujarat-Bhuj -3
5,MEHULRAJ BHARATSINH RATHOD,Praja Vijay Paksh,435,4,439,0.24,Gujarat-Bhuj -3
6,RAJESH KESARA PINDORIA,Aam Aadmi Party,7840,220,8060,4.47,Gujarat-Bhuj -3
7,SAKIL MAHAMAD SAMA,All India Majlis-E-Ittehadul Muslimeen,31249,46,31295,17.36,Gujarat-Bhuj -3
8,OSMAN ISHABHAI KUMBHAR,Independent,541,4,545,0.3,Gujarat-Bhuj -3
9,THEBA HUSEN MAMAD,Independent,467,0,467,0.26,Gujarat-Bhuj -3
10,BHUPENDRA BABULAL JOSHI,Independent,1113,3,1116,0.62,Gujarat-Bhuj -3
11,NOTA,None of the Above,3425,37,3462,1.92,Gujarat-Bhuj -3
1,CHAVDA SUDHA BAKUL,Bahujan Samaj Party,2349,10,2359,1.35,Gujarat-Anjar -4
2,CHHANGA TRIKAM BIJAL,Bharatiya Janata Party,98606,470,99076,56.52,Gujarat-Anjar -4
3,DANGAR RAMESHBHAI SHAMJIBHAI,Indian National Congress,61084,283,61367,35.01,Gujarat-Anjar -4
4,ARJANBHAI CHANABHAI RABARI,Aam Aadmi Party,7220,115,7335,4.18,Gujarat-Anjar -4
5,KAKAL GANIBHAI ADAMBHAI,Gujarat Sarva Samaj Party,638,0,638,0.36,Gujarat-Anjar -4
6,ROSHANALI IBRAHIM SANDHANI,SOCIAL DEMOCRATIC PARTY OF INDIA,955,2,957,0.55,Gujarat-Anjar -4
7,RAMESH JAKHARABHAI KODECHA,Independent,1061,1,1062,0.61,Gujarat-Anjar -4
8,NOTA,None of the Above,2467,18,2485,1.42,Gujarat-Anjar -4
1,BHARATBHAI VELJIBHAI SOLANKI,Indian National Congress,45729,200,45929,30.28,Gujarat-Gandhidham -5
2,MALTI KISHOR MAHESHWARI,Bharatiya Janata Party,83382,378,83760,55.23,Gujarat-Gandhidham -5
3,MAURYA K. D.,Bahujan Samaj Party,1002,8,1010,0.67,Gujarat-Gandhidham -5
4,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,428,1,429,0.28,Gujarat-Gandhidham -5
5,BUDHABHAI THAVAR MAHESHWARI,Aam Aadmi Party,14655,172,14827,9.78,Gujarat-Gandhidham -5
6,MAHESHWARI VANITA DAHYALAL,Sanyukt Vikas Party,285,0,285,0.19,Gujarat-Gandhidham -5
7,LALJIBHAI KARABHAI BALIYA,Samajwadi Party,968,0,968,0.64,Gujarat-Gandhidham -5
8,SAMIRBHAI JUMABHAI MAHESHWARI,Independent,558,1,559,0.37,Gujarat-Gandhidham -5
9,SONDARVA JIGNASHA MAHESHBHAI,Independent,787,6,793,0.52,Gujarat-Gandhidham -5
10,NOTA,None of the Above,3087,18,3105,2.05,Gujarat-Gandhidham -5
1,BHACHUBHAI DHARAMSHI AARETHIYA,Indian National Congress,66106,278,66384,45.77,Gujarat-Rapar -6
2,VIRENDRASINH BAHADURSINH JADEJA,Bharatiya Janata Party,66589,372,66961,46.17,Gujarat-Rapar -6
3,AMBA PARAVANT PATEL,Aam Aadmi Party,2387,47,2434,1.68,Gujarat-Rapar -6
4,MANSUKH VAJERAM MAKVANA,Gujarat Sarva Samaj Party,588,1,589,0.41,Gujarat-Rapar -6
5,GOSHWAMI SANJAYGIRI RAMESHGIRI,Independent,278,1,279,0.19,Gujarat-Rapar -6
6,NAVINCHANDRA MANJI JOSARFAL,Independent,225,1,226,0.16,Gujarat-Rapar -6
7,RAMESHBHAI PUNJABHAI PATNI,Independent,350,4,354,0.24,Gujarat-Rapar -6
8,RAJESHBHAI BABUBHAI DUDASNA,Independent,489,6,495,0.34,Gujarat-Rapar -6
9,RATHOD AMBABHAI MAYAJAR,Independent,694,3,697,0.48,Gujarat-Rapar -6
10,VANIYA TEJABHAI GELABHAI,Independent,939,2,941,0.65,Gujarat-Rapar -6
11,SAIYAD HASAMSHA UMARSHA,Independent,1731,1,1732,1.19,Gujarat-Rapar -6
12,NOTA,None of the Above,3938,4,3942,2.72,Gujarat-Rapar -6
1,THAKOR GENIBEN NAGAJI,Indian National Congress,101782,731,102513,45.26,Gujarat-Vav -7
2,THAKOR SWARUPJI SARDARJI,Bharatiya Janata Party,86224,688,86912,38.37,Gujarat-Vav -7
3,PARMAR NAYANABEN RANABHAI,Bahujan Samaj Party,1844,5,1849,0.82,Gujarat-Vav -7
4,BHEMAJIBHAI PATEL,Aam Aadmi Party,1503,93,1596,0.7,Gujarat-Vav -7
5,AMIRAMBHAI SHANKARLAL ASHAL,Independent,27088,258,27346,12.07,Gujarat-Vav -7
6,SHANTIBHAI HAJABHAI RATHOD,Independent,2267,22,2289,1.01,Gujarat-Vav -7
7,NOTA,None of the Above,3994,3,3997,1.76,Gujarat-Vav -7
1,GULABSINH PIRABHAI RAJPUT,Indian National Congress,90977,408,91385,42.07,Gujarat-Tharad -8
2,SHANKARBHAI LAGDHIRBHAI CHAUDHARY,Bharatiya Janata Party,116842,1049,117891,54.27,Gujarat-Tharad -8
3,HADIYAL MAHESHKUMAR RANCHHODBHAI,Bahujan Samaj Party,717,3,720,0.33,Gujarat-Tharad -8
4,PRAKASHBHAI MANJIBHAI DARAJI,Sardar Vallabhbhai Patel Party,136,1,137,0.06,Gujarat-Tharad -8
5,BHARATKUMAR KHEMABHAI CHARAMTA,Praja Vijay Paksh,74,0,74,0.03,Gujarat-Tharad -8
6,RAMESHJI VANAJI MAKVANA,Garvi Gujarat Party,68,0,68,0.03,Gujarat-Tharad -8
7,VIRCHANDBHAI CHELABHAI CHAVDA,Aam Aadmi Party,256,22,278,0.13,Gujarat-Tharad -8
8,KAMLESHBHAI KALUBHAI DESAI,Independent,91,0,91,0.04,Gujarat-Tharad -8
9,THAKOR LAXMIBEN SHURESHBHAI,Independent,164,2,166,0.08,Gujarat-Tharad -8
10,PARMAR SEDHABHAI VAGHABHAI,Independent,206,1,207,0.1,Gujarat-Tharad -8
11,BOCHIYA MOHANBHAI ISHVARBHAI,Independent,211,0,211,0.1,Gujarat-Tharad -8
12,BRAHMKSHATRIYA BHAGAVTIBEN KHETSINHBHAI,Independent,190,0,190,0.09,Gujarat-Tharad -8
13,VARAN MANUBHAI VALABHAI,Independent,476,0,476,0.22,Gujarat-Tharad -8
14,SARTANBHAI VAKHATABHAI HADIYAL,Independent,1878,0,1878,0.86,Gujarat-Tharad -8
15,NOTA,None of the Above,3460,6,3466,1.6,Gujarat-Tharad -8
1,PATEL NATHABHAI HEGOLABHAI,Indian National Congress,37922,338,38260,18.7,Gujarat-Dhanera -9
2,PATEL BHAGVANBHAI HAJABHAI,Bharatiya Janata Party,59943,414,60357,29.51,Gujarat-Dhanera -9
3,PRAKASHBHAI REVABHAI SOLANKI,Bahujan Samaj Party,2137,17,2154,1.05,Gujarat-Dhanera -9
4,DEVDA SURESHKUMAR TRIKAMAJI,Aam Aadmi Party,1083,47,1130,0.55,Gujarat-Dhanera -9
5,LASHABHAI LAVAJIBHAI BAJAG,Janata Dal  (Secular),426,1,427,0.21,Gujarat-Dhanera -9
6,DALPATJI KESARJI CHAUHAN,Independent,966,8,974,0.48,Gujarat-Dhanera -9
7,DINESHBHAI PATAJI CHAUHAN,Independent,1395,0,1395,0.68,Gujarat-Dhanera -9
8,MAVJIBHAI MAGANBHAI DESAI,Independent,95600,453,96053,46.96,Gujarat-Dhanera -9
9,NOTA,None of the Above,3809,2,3811,1.86,Gujarat-Dhanera -9
1,KANTIBHAI KALABHAI KHARADI,Indian National Congress,84691,443,85134,46.42,Gujarat-Danta -10
2,PARGHI LATUBHAI CHANDABHAI,Bharatiya Janata Party,78251,556,78807,42.97,Gujarat-Danta -10
3,BUMBADIYA MAHENDRABHAI KESHARABHAI,Aam Aadmi Party,11861,320,12181,6.64,Gujarat-Danta -10
4,DHRANGI KALABHAI MAVABHAI,Independent,2073,9,2082,1.14,Gujarat-Danta -10
5,NOTA,None of the Above,5201,12,5213,2.84,Gujarat-Danta -10
1,JIGNESH MEVANI,Indian National Congress,93848,917,94765,48,Gujarat-Vadgam -11
2,MANIBHAI JETHABHAI VAGHELA,Bharatiya Janata Party,89052,785,89837,45.51,Gujarat-Vadgam -11
3,SOLANKI RAJANIKANT HIRABHAI,Bahujan Samaj Party,644,4,648,0.33,Gujarat-Vadgam -11
4,JAYSHRIBEN DAHYABHAI PARMAR,Pachchasi Parivartan Samaj Party,218,2,220,0.11,Gujarat-Vadgam -11
5,DABHI SHARMISHTABEN LALJIBHAI,Janata Dal  (Secular),176,2,178,0.09,Gujarat-Vadgam -11
6,DALPATBHAI DAHYABHAI BHATIYA,Aam Aadmi Party,4322,171,4493,2.28,Gujarat-Vadgam -11
7,SUNDHIYA KALPESHKUMAR RAMESHBHAI,All India Majlis-E-Ittehadul Muslimeen,2233,1,2234,1.13,Gujarat-Vadgam -11
8,DATTULBHAI SOMALAL JOSHI,Independent,287,3,290,0.15,Gujarat-Vadgam -11
9,DINESHKUMAR ALJIBHAI  SOLANKI,Independent,224,0,224,0.11,Gujarat-Vadgam -11
10,BHATIYA PIYUSHBHAI BHIKHABHAI,Independent,458,1,459,0.23,Gujarat-Vadgam -11
11,MAHESWARI MANJULABEN VANRAJBHAI,Independent,1194,1,1195,0.61,Gujarat-Vadgam -11
12,NOTA,None of the Above,2857,20,2877,1.46,Gujarat-Vadgam -11
1,ANIKET GIRISHBHAI THAKER,Bharatiya Janata Party,94692,896,95588,52.93,Gujarat-Palanpur -12
2,MAHESHKUMAR AMRUTLAL PATEL,Indian National Congress,67648,960,68608,37.99,Gujarat-Palanpur -12
3,SHAILESHBHAI KARSHANBHAI PARMAR,Bahujan Samaj Party,1259,8,1267,0.7,Gujarat-Palanpur -12
4,RAMESHKUMAR KHEMRAJBHAI NABHANI,Aam Aadmi Party,9138,468,9606,5.32,Gujarat-Palanpur -12
5,CHUNARA GULSHANBEN AHEMADBHAI,Independent,331,2,333,0.18,Gujarat-Palanpur -12
6,JAVIDKHAN JAFARKHAN PARMAR,Independent,307,3,310,0.17,Gujarat-Palanpur -12
7,PARMAR CHHAGANCHANDARAJ DHANABHAI,Independent,344,2,346,0.19,Gujarat-Palanpur -12
8,MANISH BRAHMBHATT (KRANTIKARI),Independent,952,12,964,0.53,Gujarat-Palanpur -12
9,SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent,874,5,879,0.49,Gujarat-Palanpur -12
10,NOTA,None of the Above,2679,23,2702,1.5,Gujarat-Palanpur -12
1,PRAVINKUMAR GORDHANJI MALI,Bharatiya Janata Party,97330,676,98006,45.51,Gujarat-Deesa -13
2,SANJAYKUMAR GOVABHAI RABARI,Indian National Congress,54977,382,55359,25.71,Gujarat-Deesa -13
3,ASHOKBHAI POPATBHAI PARMAR,Garvi Gujarat Party,944,0,944,0.44,Gujarat-Deesa -13
4,JASHVANTKUMAR PADHIYAR,National Maha Sabha Party,322,2,324,0.15,Gujarat-Deesa -13
5,DR.RAMESHBHAI PATEL,Aam Aadmi Party,9003,325,9328,4.33,Gujarat-Deesa -13
6,SONI NITINKUMAR,Praja Vijay Paksh,450,0,450,0.21,Gujarat-Deesa -13
7,JAYANTIBHAI  NAVABHAI CHAUDHARY,Independent,934,0,934,0.43,Gujarat-Deesa -13
8,DINESHBHAI SAGTHABHAI PATEL,Independent,329,3,332,0.15,Gujarat-Deesa -13
9,PATEL JAYANTIBHAI SAGTHABHAI,Independent,534,0,534,0.25,Gujarat-Deesa -13
10,LEBJIBHAI THAKOR,Independent,44890,168,45058,20.92,Gujarat-Deesa -13
11,VAGHELA GAJUBHA MOHANSING,Independent,1235,1,1236,0.57,Gujarat-Deesa -13
12,NOTA,None of the Above,2845,6,2851,1.32,Gujarat-Deesa -13
1,KESHAJI SHIVAJI CHAUHAN,Bharatiya Janata Party,108560,563,109123,56.66,Gujarat-Deodar -14
2,MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party,2463,3,2466,1.28,Gujarat-Deodar -14
3,SHIVABHAI AMARABHAI BHURIYA,Indian National Congress,70007,702,70709,36.71,Gujarat-Deodar -14
4,NAYANSINH NARSINHBHAI PADHAR,Praja Vijay Paksh,2149,20,2169,1.13,Gujarat-Deodar -14
5,BHEMABHAI RAGNATHBHAI CHAUDHARY,Aam Aadmi Party,4863,202,5065,2.63,Gujarat-Deodar -14
6,NOTA,None of the Above,3065,6,3071,1.59,Gujarat-Deodar -14
1,AMRUTJI MOTIJI THAKOR,Indian National Congress,96137,487,96624,47.81,Gujarat-Kankrej -15
2,MAHESHBHAI VERSHIBHAI MAKAVANA,Bahujan Samaj Party,2136,3,2139,1.06,Gujarat-Kankrej -15
3,VAGHELA KIRTISINH PRABHATSINH,Bharatiya Janata Party,90788,541,91329,45.19,Gujarat-Kankrej -15
4,MUKESHKUMAR SOMALAL THAKKAR,Aam Aadmi Party,4965,96,5061,2.5,Gujarat-Kankrej -15
5,RATHOD MAVJI BHEMAJI,Jan Sewa Driver Party,829,2,831,0.41,Gujarat-Kankrej -15
6,CHAUDHARI BABUBHAI MAHDEVBHAI,Independent,1240,2,1242,0.61,Gujarat-Kankrej -15
7,THAKOR GANDAJI MANAJI,Independent,1050,1,1051,0.52,Gujarat-Kankrej -15
8,NOTA,None of the Above,3805,6,3811,1.89,Gujarat-Kankrej -15
1,Raghubhai Merajbhai Desai,Indian National Congress,81405,640,82045,41.37,Gujarat-Radhanpur -16
2,Lavingji Muljiji Solanki,Bharatiya Janata Party,103925,587,104512,52.7,Gujarat-Radhanpur -16
3,Sadhu Devendarkumar Sitaramdas,Gujarat Nav Nirman Sena,1150,2,1152,0.58,Gujarat-Radhanpur -16
4,Dolsangji D Thakor,Jan Sewa Driver Party,348,0,348,0.18,Gujarat-Radhanpur -16
5,Raval Bhurabhai Motibhai,Samajwadi Party,272,0,272,0.14,Gujarat-Radhanpur -16
6,Thakor Lalabhai Raghubhai,Aam Aadmi Party,2560,79,2639,1.33,Gujarat-Radhanpur -16
7,Kishan Kalubhai Thakor,Independent,300,1,301,0.15,Gujarat-Radhanpur -16
8,Thakor Versiji Dhamaji,Independent,783,2,785,0.4,Gujarat-Radhanpur -16
9,Tanna Girdharibhai Chunilal,Independent,453,0,453,0.23,Gujarat-Radhanpur -16
10,Patel Pankajkumar Atmaram,Independent,669,2,671,0.34,Gujarat-Radhanpur -16
11,Sadhu Mayaram Karsandas,Independent,1559,0,1559,0.79,Gujarat-Radhanpur -16
12,NOTA,None of the Above,3561,10,3571,1.8,Gujarat-Radhanpur -16
1,Thakor Dineshbhai Ataji,Indian National Congress,85479,927,86406,46.43,Gujarat-Chanasma -17
2,Dilipkumar Virajibhai Thakor,Bharatiya Janata Party,84383,619,85002,45.67,Gujarat-Chanasma -17
3,Thakor Diwanji Hemaji,Garvi Gujarat Party,1455,3,1458,0.78,Gujarat-Chanasma -17
4,Vishnubhai Jorabhai Patel,Aam Aadmi Party,7324,262,7586,4.08,Gujarat-Chanasma -17
5,Shivanandji Sarswati Gurushree Madhvanandji,Gujarat Nav Nirman Sena,572,4,576,0.31,Gujarat-Chanasma -17
6,Shankarbhai Sagarambhai Rabari,Jan Sewa Driver Party,741,4,745,0.4,Gujarat-Chanasma -17
7,Baloch Jalamkhan Kayamkhan,Independent,1052,0,1052,0.57,Gujarat-Chanasma -17
8,NOTA,None of the Above,3278,15,3293,1.77,Gujarat-Chanasma -17
1,KIRITKUMAR CHIMANLAL PATEL,Indian National Congress,102166,1339,103505,50.16,Gujarat-Patan -18
2,DR. RAJULBEN DESAI,Bharatiya Janata Party,85765,563,86328,41.84,Gujarat-Patan -18
3,SARVAKAR HASUMATIBEN PARASHOTTAMBHAI,Bahujan Samaj Party,904,9,913,0.44,Gujarat-Patan -18
4,THAKOR JAYNTIJI HIRAJI,Garvi Gujarat Party,230,1,231,0.11,Gujarat-Patan -18
5,THAKOR PRAHLADSANG DHUDAJI,Jan Sewa Driver Party,145,1,146,0.07,Gujarat-Patan -18
6,BHARTJI KANTIJI THAKOR,National Maha Sabha Party,279,0,279,0.14,Gujarat-Patan -18
7,LALESHBHAI THAKKAR,Aam Aadmi Party,6598,210,6808,3.3,Gujarat-Patan -18
8,THAKOR SARJIJI KANJIJI,Independent,142,0,142,0.07,Gujarat-Patan -18
9,PATEL JAYESHKUMAR GORDHANBHAI,Independent,201,1,202,0.1,Gujarat-Patan -18
10,PARMAR HITENDRAKUMAR GANESHBHAI,Independent,272,2,274,0.13,Gujarat-Patan -18
11,PRATAPJI PUNJAJI THAKOR,Independent,212,0,212,0.1,Gujarat-Patan -18
12,PRAVINBHAI DAHYALAL JADAV,Independent,310,13,323,0.16,Gujarat-Patan -18
13,PRHLADJI PRADHANJI THAKOR,Independent,487,0,487,0.24,Gujarat-Patan -18
14,MANSURI TOFIKBHAI UMARBHAI,Independent,646,1,647,0.31,Gujarat-Patan -18
15,ROHIT SENMA ALIAS NAGJI,Independent,1040,1,1041,0.5,Gujarat-Patan -18
16,SHABBIRHUSEN AAJAMBHAI MALEK,Independent,2332,1,2333,1.13,Gujarat-Patan -18
17,NOTA,None of the Above,2474,7,2481,1.2,Gujarat-Patan -18
1,Govindbhai Rathod,Bahujan Samaj Party,2037,3,2040,1.08,Gujarat-Sidhpur -19
2,Chandanji Talaji Thakor,Indian National Congress,88112,261,88373,46.7,Gujarat-Sidhpur -19
3,Balvantsinh Chandansinh Rajput,Bharatiya Janata Party,90871,316,91187,48.19,Gujarat-Sidhpur -19
4,Abbasbhai Mohammadsharif Nodsola,All India Majlis-E-Ittehadul Muslimeen,1136,1,1137,0.6,Gujarat-Sidhpur -19
5,Thakor Sanjayji,Pachchasi Parivartan Samaj Party,252,1,253,0.13,Gujarat-Sidhpur -19
6,Rajput Mahendrasinh Dalpatsinh,Aam Aadmi Party,2023,59,2082,1.1,Gujarat-Sidhpur -19
7,Kaji Sohil Hanifbhai,Independent,357,1,358,0.19,Gujarat-Sidhpur -19
8,Patel Dilipkumar,Independent,936,2,938,0.5,Gujarat-Sidhpur -19
9,Baloch Hasankhan Dayamkhan,Independent,990,1,991,0.52,Gujarat-Sidhpur -19
10,NOTA,None of the Above,1850,7,1857,0.98,Gujarat-Sidhpur -19
1,Desai Mukeshkumar Monghjibhai,Indian National Congress,50680,816,51496,33.7,Gujarat-Kheralu -20
2,Sardarbhai Shamalbhai Chaudhary,Bharatiya Janata Party,55101,359,55460,36.3,Gujarat-Kheralu -20
3,Chauhan Mukeshsinh Dhirusinh,Garvi Gujarat Party,956,7,963,0.63,Gujarat-Kheralu -20
4,Thakor Dineshji Hajurji,Aam Aadmi Party,2421,179,2600,1.7,Gujarat-Kheralu -20
5,Valjibhai Savjibhai Parmar,Log Party,348,3,351,0.23,Gujarat-Kheralu -20
6,Alok Hiralal Rai,Independent,2055,6,2061,1.35,Gujarat-Kheralu -20
7,Rameshji Jivanji Thakor,Independent,823,1,824,0.54,Gujarat-Kheralu -20
8,Ramsinhji Shankarji Thakor,Independent,36112,272,36384,23.81,Gujarat-Kheralu -20
9,NOTA,None of the Above,2636,12,2648,1.73,Gujarat-Kheralu -20
1,PATEL ARVIND AMRUTLAL (BHURO),Indian National Congress,36845,248,37093,25.03,Gujarat-Unjha -21
2,PATEL KIRITKUMAR KESHAVLAL (K K PATEL),Bharatiya Janata Party,88066,495,88561,59.75,Gujarat-Unjha -21
3,URVISHKUMAR BABUBHAI PATEL,Aam Aadmi Party,18060,401,18461,12.46,Gujarat-Unjha -21
4,PARMAR HASMUKHBHAI VIRABHAI,Bhartiya Jan Parishad,530,4,534,0.36,Gujarat-Unjha -21
5,RABARI RAMESHBHAI SUKHABHAI,Garvi Gujarat Party,552,4,556,0.38,Gujarat-Unjha -21
6,DR. HITESHKUMAR MAHENDRABHAI PARMAR,Nirbhay Bharteey Party,422,4,426,0.29,Gujarat-Unjha -21
7,ARVINDJI ALKHAJI THAKOR,Independent,770,42,812,0.55,Gujarat-Unjha -21
8,NOTA,None of the Above,1768,7,1775,1.2,Gujarat-Unjha -21
1,Rushikesh Ganeshbhai Patel,Bharatiya Janata Party,87803,553,88356,55.11,Gujarat-Visnagar -22
2,Kiritbhai Ishvarbhai Patel,Indian National Congress,53231,720,53951,33.65,Gujarat-Visnagar -22
3,Jayantilal Mohanlal Patel (Advocate),Aam Aadmi Party,12450,381,12831,8,Gujarat-Visnagar -22
4,Thakor Vishnuji Nenaji (Master),Right to Recall Party,577,3,580,0.36,Gujarat-Visnagar -22
5,Prajapati Jagdish kumar Bhikhabhai,Bhartiya Jan Parishad,417,4,421,0.26,Gujarat-Visnagar -22
6,Thakor Sanjayji Amratji,Rashtriya Hind Ekta Dal,153,1,154,0.1,Gujarat-Visnagar -22
7,Khokhar Abdulrashid Shermohmad,Independent,209,1,210,0.13,Gujarat-Visnagar -22
8,Thakor Shankarji Mafaji,Independent,249,4,253,0.16,Gujarat-Visnagar -22
9,Patel Upendrakumar Shankarlal,Independent,478,0,478,0.3,Gujarat-Visnagar -22
10,Parmar Vijaykumar Kodarbhai,Independent,775,1,776,0.48,Gujarat-Visnagar -22
11,NOTA,None of the Above,2305,20,2325,1.45,Gujarat-Visnagar -22
1,THAKOR AMRUTJI(BHOPAJI) BABUJI,Indian National Congress,58261,325,58586,36.02,Gujarat-Becharaji -23
2,THAKOR SUKHAJI SOMAJI,Bharatiya Janata Party,69474,398,69872,42.96,Gujarat-Becharaji -23
3,DINESHKUMAR REVABHAI RATHOD,Bahujan Samaj Party,724,8,732,0.45,Gujarat-Becharaji -23
4,AMITKUMAR PUSKARRAY PATEL(NETAJI),Rashtrawadi Janlok Dal,506,10,516,0.32,Gujarat-Becharaji -23
5,ZALA NARENDRASINH VAJESINH,Garvi Gujarat Party,875,2,877,0.54,Gujarat-Becharaji -23
6,DR. P. C. PATEL,Bharatiya Rashtravadi Paksha,453,5,458,0.28,Gujarat-Becharaji -23
7,SAGARBHAI HARJIBHAI RABARI,Aam Aadmi Party,10350,413,10763,6.62,Gujarat-Becharaji -23
8,SIDDHARAJSINH VAJUBHA ZALA,Jan Sewa Driver Party,447,2,449,0.28,Gujarat-Becharaji -23
9,THAKOR SHAILESHSINH KIRTISINH,Independent,757,2,759,0.47,Gujarat-Becharaji -23
10,BHAVESHKUMAR NAROTAMBHAI PATEL,Independent,17079,99,17178,10.56,Gujarat-Becharaji -23
11,NOTA,None of the Above,2441,25,2466,1.52,Gujarat-Becharaji -23
1,Karsanbhai Punjabhai Solanki,Bharatiya Janata Party,106699,353,107052,53.45,Gujarat-Kadi -24
2,Pravinbhai Ganapatbhai Parmar,Indian National Congress,78528,330,78858,39.37,Gujarat-Kadi -24
3,Bhupendrakumar Bhikhabhai Ravat,Rashtriya Hind Ekta Dal,1078,0,1078,0.54,Gujarat-Kadi -24
4,Hargovan Karsandas Dabhi,Aam Aadmi Party,7061,192,7253,3.62,Gujarat-Kadi -24
5,Kusumben Sureshkumar Rathod,Independent,333,2,335,0.17,Gujarat-Kadi -24
6,Mangalbhai Kacharabhai Makwana,Independent,1497,2,1499,0.75,Gujarat-Kadi -24
7,Laxmichand Pujabhai Chavada,Independent,861,2,863,0.43,Gujarat-Kadi -24
8,Senama Mahendrabhai Somabhai,Independent,836,0,836,0.42,Gujarat-Kadi -24
9,NOTA,None of the Above,2496,9,2505,1.25,Gujarat-Kadi -24
1,Patel Mukeshkumar D.,Bharatiya Janata Party,98127,689,98816,56.07,Gujarat-Mahesana -25
2,Vasudev Tribhovandas Parmar,Bahujan Samaj Party,816,3,819,0.46,Gujarat-Mahesana -25
3,P.K.  Patel,Indian National Congress,52403,619,53022,30.09,Gujarat-Mahesana -25
4,Patel Dishantbhai Dhanjibhai(Bhagat),Aam Aadmi Party,14609,602,15211,8.63,Gujarat-Mahesana -25
5,Nimesh Atmaram Patel,Gunj Satya Ni Janata Party,817,0,817,0.46,Gujarat-Mahesana -25
6,Thakor Arjanji Mohanji,Independent,467,3,470,0.27,Gujarat-Mahesana -25
7,Thakor Kamleshbhai Nenaji,Independent,222,8,230,0.13,Gujarat-Mahesana -25
8,Thakor Pratapji Kadavaji,Independent,198,2,200,0.11,Gujarat-Mahesana -25
9,Taraben Rameshbhai Makwana,Independent,218,0,218,0.12,Gujarat-Mahesana -25
10,Parmar Devangkumar Prabhudas,Independent,232,3,235,0.13,Gujarat-Mahesana -25
11,Raval Anandkumar Manilal,Independent,2711,11,2722,1.54,Gujarat-Mahesana -25
12,Seta Mahomadjubed Ayubbhai (Jakhami),Independent,448,1,449,0.25,Gujarat-Mahesana -25
13,Snehal Ganpatbhai Vaghela,Independent,560,4,564,0.32,Gujarat-Mahesana -25
14,NOTA,None of the Above,2422,27,2449,1.39,Gujarat-Mahesana -25
1,Dr. C. J. CHAVDA,Indian National Congress,77806,943,78749,49.52,Gujarat-Vijapur -26
2,RAMANBHAI D. PATEL(STARLINE),Bharatiya Janata Party,70954,742,71696,45.08,Gujarat-Vijapur -26
3,URVASHIBEN DIPAKBHAI PATEL,Rashtriya Hind Ekta Dal,552,0,552,0.35,Gujarat-Vijapur -26
4,CHIRAGBHAI PATEL(K.K.GROUP),Aam Aadmi Party,4760,259,5019,3.16,Gujarat-Vijapur -26
