O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank,margin,Vidhan_Sabha
1,Geetaba Jayrajsinh Jadeja,Bharatiya Janata Party,85359,703,86062,59.49,Gujarat-Gondal -73,1.0,43313.0,Gondal 
1,Kalubhai Chanabhai Rathod,Bharatiya Janata Party,95356,504,95860,56.46,Gujarat-Una -93,1.0,43526.0,Una 
1,Khabad Bachubhai Maganbhai,Bharatiya Janata Party,113038,489,113527,58.27,Gujarat-Devgadhbaria -134,1.0,44201.0,Devgadhbaria 
1,Arjunsinh Udesinh Chauhan,Bharatiya Janata Party,108185,356,108541,59.54,Gujarat-Mehmedabad -117,1.0,45604.0,Mehmedabad 
1,Patel Mukeshkumar D.,Bharatiya Janata Party,98127,689,98816,56.07,Gujarat-Mahesana -25,1.0,45794.0,Mahesana 
1,Kaushik Kantibhai Vekariya,Bharatiya Janata Party,88004,1030,89034,54.89,Gujarat-Amreli -95,1.0,46657.0,Amreli 
1,Ahir(Bharvad) Jethabhai Ghelabhai,Bharatiya Janata Party,107082,693,107775,59.45,Gujarat-Shehra -124,1.0,47281.0,Shehra 
3,Patel Raghavjibhai Hansrajbhai,Bharatiya Janata Party,79056,383,79439,48.8,Gujarat-Jamnagar Rural -77,1.0,47500.0,Jamnagar Rural 
1,Aniruddha Bhailal Dave,Bharatiya Janata Party,89747,556,90303,53.3,Gujarat-Mandvi -2,1.0,48297.0,Mandvi 
2,Bhanuben Manoharbhai Babariya,Bharatiya Janata Party,119353,342,119695,52.54,Gujarat-Rajkot Rural -71,1.0,48494.0,Rajkot Rural 
2,Suthar Nimishaben Manharsinh,Bharatiya Janata Party,81239,658,81897,57.88,Gujarat-Morva Hadaf -125,1.0,48877.0,Morva Hadaf 
2,Mansinh Kohyabhai Chauhan,Bharatiya Janata Party,91835,666,92501,50.76,Gujarat-Balasinor -121,1.0,51422.0,Balasinor 
1,Ganpatsinh Vestabhai Vasava,Bharatiya Janata Party,93327,342,93669,55.69,Gujarat-Mangrol -156,1.0,51423.0,Mangrol 
2,Patel Kiritkumar Keshavlal (K K Patel),Bharatiya Janata Party,88066,495,88561,59.75,Gujarat-Unjha -21,1.0,51468.0,Unjha 
1,Patel Hardik Bharatbhai,Bharatiya Janata Party,98627,528,99155,49.64,Gujarat-Viramgam -39,1.0,51707.0,Viramgam 
3,Rivasinh Hardevsinh Solanki (Rivaba Ravindrasinh Jadeja),Bharatiya Janata Party,88119,716,88835,57.79,Gujarat-Jamnagar North -78,1.0,53570.0,Jamnagar North 
1,Desai Pankajbhai Vinubhai (Gotiyo),Bharatiya Janata Party,103699,670,104369,63.04,Gujarat-Nadiad -116,1.0,53871.0,Nadiad 
1,Darshna M. Vaghela,Bharatiya Janata Party,79550,605,80155,64.13,Gujarat-Asarwa -56,1.0,54173.0,Asarwa 
1,Jagdish Vishwakarma,Bharatiya Janata Party,93400,314,93714,61.73,Gujarat-Nikol -46,1.0,55198.0,Nikol 
4,Sangitaben Rajendra Patil,Bharatiya Janata Party,95515,181,95696,53.44,Gujarat-Limbayat -163,1.0,58009.0,Limbayat 
1,Amit Thaker,Bharatiya Janata Party,127674,375,128049,56.18,Gujarat-Vejalpur -42,1.0,59651.0,Vejalpur 
2,Keshubhai Shivdas Patel,Bharatiya Janata Party,95746,836,96582,53.59,Gujarat-Bhuj -3,1.0,59814.0,Bhuj 
2,Yogendrasinh Parmar (Bakabhai),Bharatiya Janata Party,120885,463,121348,61.76,Gujarat-Thasra -119,1.0,61919.0,Thasra 
1,Amrutiya Kantilal Shivlal,Bharatiya Janata Party,113701,837,114538,59.21,Gujarat-Morbi -65,1.0,62079.0,Morbi 
4,Sejalben Rajivkumar Pandya,Bharatiya Janata Party,98223,484,98707,60.71,Gujarat-Bhavnagar East -104,1.0,62554.0,Bhavnagar East 
1,Akbari Divyeshbhai Ranchhodbhai,Bharatiya Janata Party,86045,447,86492,65.12,Gujarat-Jamnagar South -79,1.0,62697.0,Jamnagar South 
1,Kanchanben Vinubhai Radadiya,Bharatiya Janata Party,89050,359,89409,65.66,Gujarat-Thakkarbapa Nagar -48,1.0,63799.0,Thakkarbapa Nagar 
2,Rameshbhai Narandas Mistry,Bharatiya Janata Party,108181,474,108655,63.24,Gujarat-Bharuch -153,1.0,64473.0,Bharuch 
1,Gajendrasinh Udesinh Parmar,Bharatiya Janata Party,104484,840,105324,57.23,Gujarat-Prantij -33,1.0,64622.0,Prantij 
3,Vinodbhai Amarshibhai Moradiya,Bharatiya Janata Party,120342,163,120505,58.25,Gujarat-Katargam -166,1.0,64627.0,Katargam 
2,Patkar Ramanlal Nanubhai,Bharatiya Janata Party,109896,192,110088,63.55,Gujarat-Umbergaon -182,1.0,64786.0,Umbergaon 
2,Jagdishbhai Prabhubhai Makwana,Bharatiya Janata Party,104451,1452,105903,60.11,Gujarat-Wadhwan -62,1.0,65489.0,Wadhwan 
1,R.C.Patel,Bharatiya Janata Party,105921,323,106244,66.83,Gujarat-Jalalpore -174,1.0,68699.0,Jalalpore 
2,Manubhai M. Patel (Fogwa),Bharatiya Janata Party,93863,136,93999,63.16,Gujarat-Udhna -164,1.0,69896.0,Udhna 
2,Desai Rakesh Gunvantbhai,Bharatiya Janata Party,106559,316,106875,64.65,Gujarat-Navsari -175,1.0,72313.0,Navsari 
2,Parshottambhai O. Solanki,Bharatiya Janata Party,114974,1060,116034,63.61,Gujarat-Bhavnagar Rural -103,1.0,73484.0,Bhavnagar Rural 
3,Praful Pansheriya,Bharatiya Janata Party,185204,381,185585,56.07,Gujarat-Kamrej -158,1.0,74697.0,Kamrej 
1,Jayeshbhai Vitthalbhai Radadiya,Bharatiya Janata Party,106135,336,106471,60.79,Gujarat-Jetpur -74,1.0,76926.0,Jetpur 
2,Chaitanya  Makarandbhai  Desai,Bharatiya Janata Party,112810,502,113312,68.76,Gujarat-Akota -143,1.0,77753.0,Akota 
1,Rameshbhai Virjibhai Tilala,Bharatiya Janata Party,101467,267,101734,66.37,Gujarat-Rajkot South -70,1.0,78864.0,Rajkot South 
2,Balkrushna Khanderao Shukla (Balu Shukla),Bharatiya Janata Party,118711,590,119301,68.96,Gujarat-Raopura -144,1.0,81035.0,Raopura 
1,Kukrani Payal Manojkumar,Bharatiya Janata Party,112194,573,112767,71.49,Gujarat-Naroda -47,1.0,83513.0,Naroda 
2,Keyur Narayandas Rokadia,Bharatiya Janata Party,121528,538,122066,68.45,Gujarat-Sayajigunj -142,1.0,84013.0,Sayajigunj 
1,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,Bharatiya Janata Party,118140,387,118527,66.14,Gujarat-Bardoli -169,1.0,89948.0,Bardoli 
1,Amul Bhatt,Bharatiya Janata Party,112527,556,113083,73.28,Gujarat-Maninagar -53,1.0,90728.0,Maninagar 
2,Babubhai Jamnadas Patel (B.J.P.),Bharatiya Janata Party,158485,622,159107,62.93,Gujarat-Daskroi -57,1.0,91637.0,Daskroi 
1,Jitendrakumar Ramanlal Patel (Jitu Bhagat),Bharatiya Janata Party,107874,286,108160,77.48,Gujarat-Naranpura -45,1.0,92800.0,Naranpura 
2,Nareshbhai  Maganbhai Patel,Bharatiya Janata Party,130531,585,131116,62.24,Gujarat-Gandevi -176,1.0,93166.0,Gandevi 
1,Kanubhai Mohanlal Desai,Bharatiya Janata Party,121743,225,121968,73.43,Gujarat-Pardi -180,1.0,97164.0,Pardi 
3,Manisha Vakil,Bharatiya Janata Party,130112,593,130705,70.57,Gujarat-Vadodara City -141,1.0,98597.0,Vadodara City 
2,Patel Harshadbhai Ranchhodbhai (Harshad Patel),Bharatiya Janata Party,119779,423,120202,76.75,Gujarat-Sabarmati -55,1.0,98684.0,Sabarmati 
2,Babusinh Sarabhai Jadav,Bharatiya Janata Party,151231,479,151710,64.09,Gujarat-Vatva -43,1.0,100046.0,Vatva 
3,Yogeshbhai Narandas Patel,Bharatiya Janata Party,119459,674,120133,75.85,Gujarat-Manjalpur -145,1.0,100754.0,Manjalpur 
2,Bharatbhai Kikubhai Patel,Bharatiya Janata Party,125809,514,126323,71.75,Gujarat-Valsad -179,1.0,103776.0,Valsad 
1,Purnesh Modi,Bharatiya Janata Party,122464,517,122981,75.73,Gujarat-Surat West -167,1.0,104312.0,Surat West 
1,Amit Shah,Bharatiya Janata Party,118803,520,119323,80.39,Gujarat-Ellisbridge -44,1.0,104796.0,Ellisbridge 
3,Dr. Darshita Shah,Bharatiya Janata Party,137814,873,138687,67.98,Gujarat-Rajkot West -69,1.0,105975.0,Rajkot West 
4,Mukeshbhai Zinabhai Patel,Bharatiya Janata Party,172055,369,172424,58.39,Gujarat-Olpad -155,1.0,115136.0,Olpad 
2,Fatesinh Vakhatsinh Chauhan,Bharatiya Janata Party,140983,703,141686,75.03,Gujarat-Kalol -127,1.0,115679.0,Kalol 
3,Harsh Ramesh Sanghvi,Bharatiya Janata Party,132978,357,133335,81.97,Gujarat-Majura -165,1.0,116675.0,Majura 
3,Sandip Desai,Bharatiya Janata Party,235374,659,236033,73.12,Gujarat-Choryasi -168,1.0,186418.0,Choryasi 
2,Patel Bhupendrabhai Rajnikant,Bharatiya Janata Party,212480,1050,213530,82.95,Gujarat-Ghatlodia -41,1.0,192263.0,Ghatlodia 
