O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
2,Jadeja Pradhyumansinh Mahipatsinh,Bharatiya Janata Party,79298,897,80195,49.15,Gujarat-Abdasa -1,1.0
1,Jat Mamad Jung,Indian National Congress,70423,341,70764,43.37,Gujarat-Abdasa -1,2.0
10,Hakumatsinh Juvansinh Jadeja,Independent,3474,28,3502,2.15,Gujarat-Abdasa -1,3.0
11,Nota,None of the Above,2925,17,2942,1.8,Gujarat-Abdasa -1,4.0
7,Mamubhai Mandabhai Rabari,Independent,1722,13,1735,1.06,Gujarat-Abdasa -1,5.0
6,Vasantbhai Valji Khetani,Aam Aadmi Party,1606,98,1704,1.04,Gujarat-Abdasa -1,6.0
3,Meghwal Nagshi Khamubhai,Bahujan Samaj Party,1022,20,1042,0.64,Gujarat-Abdasa -1,7.0
8,Uthar Razak Alimamad,Independent,437,13,450,0.28,Gujarat-Abdasa -1,8.0
9,Bhanushali Suresh Manji Mange,Independent,337,0,337,0.21,Gujarat-Abdasa -1,9.0
4,K. D. Jadeja,Praja Vijay Paksh,299,5,304,0.19,Gujarat-Abdasa -1,10.0
5,Joshi Jagdishchandra Kakulal,Samajwadi Party,195,2,197,0.12,Gujarat-Abdasa -1,11.0
2,Chaitanya  Makarandbhai  Desai,Bharatiya Janata Party,112810,502,113312,68.76,Gujarat-Akota -143,1.0
1,Rutvij Dilipbhai Joshi,Indian National Congress,35369,190,35559,21.58,Gujarat-Akota -143,2.0
7,Shashank  Rajesh Khare,Aam Aadmi Party,9744,274,10018,6.08,Gujarat-Akota -143,3.0
12,Nota,None of the Above,2822,17,2839,1.72,Gujarat-Akota -143,4.0
8,Jatin Shah,Independent,915,6,921,0.56,Gujarat-Akota -143,5.0
3,Narendrabhai  Lalubhai Parmar,Akhil Bharat Hindu Mahasabha,426,3,429,0.26,Gujarat-Akota -143,6.0
4,Bharti Parmar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),341,2,343,0.21,Gujarat-Akota -143,7.0
5,Mukesh Shivprasad Nayak,Rashtriya Samaj Paksha,324,2,326,0.2,Gujarat-Akota -143,8.0
11,Dr. Rahul Vasudevbhai Vyas,Independent,291,0,291,0.18,Gujarat-Akota -143,9.0
6,Rajeshbhai  Bhikhabhai Mali,Gujarat Nav Nirman Sena,281,2,283,0.17,Gujarat-Akota -143,10.0
10,Deepak Harishchandra  Palkar,Independent,248,0,248,0.15,Gujarat-Akota -143,11.0
9,Dineshbhai  Vyas,Independent,225,0,225,0.14,Gujarat-Akota -143,12.0
4,Dr. Hasmukh Patel,Bharatiya Janata Party,93670,324,93994,58.98,Gujarat-Amraiwadi -50,1.0
1,Dharmendrabhai Shantilal Patel (Dhambhai),Indian National Congress,50392,330,50722,31.83,Gujarat-Amraiwadi -50,2.0
13,Vinay Nandlal Gupta,Aam Aadmi Party,7552,235,7787,4.89,Gujarat-Amraiwadi -50,3.0
3,Rathod Yalpeshkumar Pravinbhai,Bahujan Samaj Party,1519,10,1529,0.96,Gujarat-Amraiwadi -50,4.0
18,Nota,None of the Above,1203,21,1224,0.77,Gujarat-Amraiwadi -50,5.0
2,Parmar Rameshbhai Kishorbhai,Communist Party of India,687,0,687,0.43,Gujarat-Amraiwadi -50,6.0
17,Sanjaybhai Dahyabhai Patel,Independent,666,1,667,0.42,Gujarat-Amraiwadi -50,7.0
16,Solanki Vinodbhai Bodhabhai,Independent,629,1,630,0.4,Gujarat-Amraiwadi -50,8.0
5,Gautambhai Sadabhai Parmar,Garvi Gujarat Party,469,1,470,0.29,Gujarat-Amraiwadi -50,9.0
12,Bharwad Anilkumar Jitubhai (Anil Amdavadi),Bahujan Republican  Socialist Party,457,4,461,0.29,Gujarat-Amraiwadi -50,10.0
15,Gyanendra Dayanand Vishwakarma,Samajwadi Party,327,1,328,0.21,Gujarat-Amraiwadi -50,11.0
9,Baghel Rajesh Vishvanathsingh,Vikas India Party,200,0,200,0.13,Gujarat-Amraiwadi -50,12.0
14,Satish Hiralal Soni,Apni Janta Party,162,1,163,0.1,Gujarat-Amraiwadi -50,13.0
11,Bharat Jain,Jan Sewa Driver Party,130,0,130,0.08,Gujarat-Amraiwadi -50,14.0
8,Parmar Bakulaben Ukabhai,Rashtra Nirman Party,126,1,127,0.08,Gujarat-Amraiwadi -50,15.0
6,Neeraj Shivsagar Shukla,Jan Sangharsh Virat Party,102,1,103,0.06,Gujarat-Amraiwadi -50,16.0
7,Patel Maheshkumar Somabhai,Pachchasi Parivartan Samaj Party,71,0,71,0.04,Gujarat-Amraiwadi -50,17.0
10,Bhatt Sunilkumar Narendrabhai,Right to Recall Party,68,0,68,0.04,Gujarat-Amraiwadi -50,18.0
1,Kaushik Kantibhai Vekariya,Bharatiya Janata Party,88004,1030,89034,54.89,Gujarat-Amreli -95,1.0
2,Dhanani Pareshkumar Dhirajlal,Indian National Congress,41859,518,42377,26.12,Gujarat-Amreli -95,2.0
4,Ravi Dhanani,Aam Aadmi Party,26106,339,26445,16.3,Gujarat-Amreli -95,3.0
6,Nota,None of the Above,2112,26,2138,1.32,Gujarat-Amreli -95,4.0
5,Vinubhai Chavada,Independent,1382,3,1385,0.85,Gujarat-Amreli -95,5.0
3,Gohil Mukeshbhai Khimajibhai,Vyavastha Parivartan Party,834,2,836,0.52,Gujarat-Amreli -95,6.0
3,Yogesh R. Patel (Bapji),Bharatiya Janata Party,111226,633,111859,57.68,Gujarat-Anand -112,1.0
2,Kantibhai Sodha Parmar (Bhagat),Indian National Congress,69656,580,70236,36.22,Gujarat-Anand -112,2.0
7,Sedaliya  Girishkumar Himmatlal,Aam Aadmi Party,4852,219,5071,2.61,Gujarat-Anand -112,3.0
16,Nota,None of the Above,2126,31,2157,1.11,Gujarat-Anand -112,4.0
1,Alpeshkumar Jayantibhai Makwana (Appu),Bahujan Samaj Party,1331,13,1344,0.69,Gujarat-Anand -112,5.0
14,Vipulkumar Bipinbhai Macwan,Independent,616,8,624,0.32,Gujarat-Anand -112,6.0
4,Arvindkumar Amarshibhai Gol,Rashtriya Hind Ekta Dal,581,0,581,0.3,Gujarat-Anand -112,7.0
15,Sarfaraj Husenkhan Pathan (S.K),Independent,547,1,548,0.28,Gujarat-Anand -112,8.0
10,Tosifbhai Mustufabhai Vhora (Hafeji),Independent,309,0,309,0.16,Gujarat-Anand -112,9.0
13,Vijaybhai Shantilal Jadav,Independent,236,0,236,0.12,Gujarat-Anand -112,10.0
9,Tofikmiya Fakrumiya Malek,Independent,212,1,213,0.11,Gujarat-Anand -112,11.0
5,Maulik Vinubhai Shah,Bharatiya National Janta Dal,209,1,210,0.11,Gujarat-Anand -112,12.0
12,Parmar Pratimaben Shaileshbhai,Independent,187,0,187,0.1,Gujarat-Anand -112,13.0
11,Dave Jatinkumar Dineshchandra,Independent,128,1,129,0.07,Gujarat-Anand -112,14.0
8,Jankiben Dineshbhai Patel,Independent,119,3,122,0.06,Gujarat-Anand -112,15.0
6,Vaghari Ganpatbhai Jesangbhai,Log Party,98,0,98,0.05,Gujarat-Anand -112,16.0
2,Chhanga Trikam Bijal,Bharatiya Janata Party,98606,470,99076,56.52,Gujarat-Anjar -4,1.0
3,Dangar Rameshbhai Shamjibhai,Indian National Congress,61084,283,61367,35.01,Gujarat-Anjar -4,2.0
4,Arjanbhai Chanabhai Rabari,Aam Aadmi Party,7220,115,7335,4.18,Gujarat-Anjar -4,3.0
8,Nota,None of the Above,2467,18,2485,1.42,Gujarat-Anjar -4,4.0
1,Chavda Sudha Bakul,Bahujan Samaj Party,2349,10,2359,1.35,Gujarat-Anjar -4,5.0
7,Ramesh Jakharabhai Kodecha,Independent,1061,1,1062,0.61,Gujarat-Anjar -4,6.0
6,Roshanali Ibrahim Sandhani,SOCIAL DEMOCRATIC PARTY OF INDIA,955,2,957,0.55,Gujarat-Anjar -4,7.0
5,Kakal Ganibhai Adambhai,Gujarat Sarva Samaj Party,638,0,638,0.36,Gujarat-Anjar -4,8.0
1,Amit Chavda,Indian National Congress,81289,223,81512,48.71,Gujarat-Anklav -110,1.0
2,Gulabsinh Ratansinh Padhiyar,Bharatiya Janata Party,78586,197,78783,47.07,Gujarat-Anklav -110,2.0
8,Nota,None of the Above,2689,3,2692,1.61,Gujarat-Anklav -110,3.0
4,Gajendrasinh Harisinh Raj,Aam Aadmi Party,1582,21,1603,0.96,Gujarat-Anklav -110,4.0
7,Raj Ajitsinh Chandrasinh,Independent,1352,1,1353,0.81,Gujarat-Anklav -110,5.0
3,Bipinbhai Manilal Bhetasiya,Bahujan Samaj Party,788,0,788,0.47,Gujarat-Anklav -110,6.0
6,Keyur Pravinbhai Patel,Independent,398,0,398,0.24,Gujarat-Anklav -110,7.0
5,Raj Yusufbhai Abhesang (Garasiya),Rashtriya Hind Ekta Dal,228,1,229,0.14,Gujarat-Anklav -110,8.0
1,Ishwarsinh Thakorbhai Patel,Bharatiya Janata Party,96012,393,96405,60.0,Gujarat-Ankleshwar -154,1.0
2,Vijaysinh Thakorbhai Patel (Vallabhdas),Indian National Congress,55684,280,55964,34.83,Gujarat-Ankleshwar -154,2.0
3,Ankurkumar Laxmanbhai  Patel,Aam Aadmi Party,5277,79,5356,3.33,Gujarat-Ankleshwar -154,3.0
5,Nota,None of the Above,2319,8,2327,1.45,Gujarat-Ankleshwar -154,4.0
4,Jitendrasingh Rajawat,Praja Vijay Paksh,633,3,636,0.4,Gujarat-Ankleshwar -154,5.0
1,Darshna M. Vaghela,Bharatiya Janata Party,79550,605,80155,64.13,Gujarat-Asarwa -56,1.0
2,Vipul Parmar,Indian National Congress,25697,285,25982,20.79,Gujarat-Asarwa -56,2.0
4,Mevada Jayantibhai Jethalal (J. J. Mevada),Aam Aadmi Party,14774,691,15465,12.37,Gujarat-Asarwa -56,3.0
8,Nota,None of the Above,1714,12,1726,1.38,Gujarat-Asarwa -56,4.0
5,Ravat Harishbhai Shakrabhai,Garvi Gujarat Party,536,1,537,0.43,Gujarat-Asarwa -56,5.0
3,Falguni R. Hadiyel,New India United Party,484,3,487,0.39,Gujarat-Asarwa -56,6.0
7,Jagdish Shankarlal Koitiya,Independent,351,1,352,0.28,Gujarat-Asarwa -56,7.0
6,Vankar Vasantkumar Nagjibhai (Upesh),Bhartiya Jan Parishad,283,3,286,0.23,Gujarat-Asarwa -56,8.0
2,Mansinh Kohyabhai Chauhan,Bharatiya Janata Party,91835,666,92501,50.76,Gujarat-Balasinor -121,1.0
1,Ajitsinh Parvatsinh Chauhan,Indian National Congress,40620,459,41079,22.54,Gujarat-Balasinor -121,2.0
4,Udesinh Rayjibhai Chauhan,Aam Aadmi Party,39009,560,39569,21.71,Gujarat-Balasinor -121,3.0
3,Khant Ashvinbhai Ramanbhai (A.K.),Garvi Gujarat Party,3037,12,3049,1.67,Gujarat-Balasinor -121,4.0
9,Nota,None of the Above,2713,11,2724,1.49,Gujarat-Balasinor -121,5.0
8,Chavda Natvarsinh Fulsinh,Independent,1427,0,1427,0.78,Gujarat-Balasinor -121,6.0
7,Zala Chandrasinh Fatesinh,Independent,657,1,658,0.36,Gujarat-Balasinor -121,7.0
5,Magansinh Bhemsinh Parmar,Jan Sangh Party,633,3,636,0.35,Gujarat-Balasinor -121,8.0
6,Zala Kiritsinh Prabhatsinh,Independent,598,2,600,0.33,Gujarat-Balasinor -121,9.0
1,Anantkumar Hasmukhbhai Patel,Indian National Congress,122909,1568,124477,52.57,Gujarat-Bansda -177,1.0
2,Piyushkumar Kantilal Patel,Bharatiya Janata Party,88967,477,89444,37.78,Gujarat-Bansda -177,2.0
5,Pankajbhai Chandubhai Patel,Aam Aadmi Party,15848,330,16178,6.83,Gujarat-Bansda -177,3.0
6,Nota,None of the Above,3795,8,3803,1.61,Gujarat-Bansda -177,4.0
3,Manakbhai Jatrubhai Sanakar,Bahujan Samaj Party,1806,1,1807,0.76,Gujarat-Bansda -177,5.0
4,Alpeshkumar Chhotubhai Patel,Bahujan Republican  Socialist Party,1055,3,1058,0.45,Gujarat-Bansda -177,6.0
1,Dineshsinh Rajendrasinh Kushwaha,Bharatiya Janata Party,59133,332,59465,48.85,Gujarat-Bapunagar -49,1.0
3,Himmatsinh Patel,Indian National Congress,47066,329,47395,38.94,Gujarat-Bapunagar -49,2.0
11,Rajeshbhai Dixit,Aam Aadmi Party,6135,249,6384,5.24,Gujarat-Bapunagar -49,3.0
4,Altafkhan Jabbarkhan Pathan,Samajwadi Party,3669,2,3671,3.02,Gujarat-Bapunagar -49,4.0
30,Nota,None of the Above,856,15,871,0.72,Gujarat-Bapunagar -49,5.0
17,Nandoliya Harshad Babubhai,Independent,637,0,637,0.52,Gujarat-Bapunagar -49,6.0
16,Jayesh Ganpatbhai Makwana,Independent,615,0,615,0.51,Gujarat-Bapunagar -49,7.0
2,Naginkumar Chimanlal Solanki,Bahujan Samaj Party,521,3,524,0.43,Gujarat-Bapunagar -49,8.0
19,Parmar Saurabh Bharatbhai,Independent,245,0,245,0.2,Gujarat-Bapunagar -49,9.0
26,Vinodbhai Muljibhai Parmar,Independent,170,3,173,0.14,Gujarat-Bapunagar -49,10.0
14,Ansari Almasjaha Nisharahmed,Independent,145,0,145,0.12,Gujarat-Bapunagar -49,11.0
20,Prahladbhai Shakrabhai Parmar,Independent,140,0,140,0.12,Gujarat-Bapunagar -49,12.0
22,Manjulaben Ranchhodbhai Parmar,Independent,129,0,129,0.11,Gujarat-Bapunagar -49,13.0
27,Vishal Dineshbhai Makwana,Independent,126,0,126,0.1,Gujarat-Bapunagar -49,14.0
10,Mohammadhusain Liyakatahusain Ansari,Loktantrik Rashrtavadi Party,119,2,121,0.1,Gujarat-Bapunagar -49,15.0
18,Parmar Vipulbhai Mansukhbhai,Independent,109,0,109,0.09,Gujarat-Bapunagar -49,16.0
15,Gafurkhan Pathan,Independent,105,0,105,0.09,Gujarat-Bapunagar -49,17.0
25,Laxmiben Kanubhai Vaghela,Independent,101,1,102,0.08,Gujarat-Bapunagar -49,18.0
28,Shakilabanu Moyusuf Ansari,Independent,102,0,102,0.08,Gujarat-Bapunagar -49,18.0
12,Vijay Naranbhai Sengal,Bahujan Suraksha Dal,81,1,82,0.07,Gujarat-Bapunagar -49,20.0
29,Salmankhan Samikhan Pathan,Independent,77,0,77,0.06,Gujarat-Bapunagar -49,21.0
13,Shaikh Mohammedjaved Ilyas,Loktantrik Samajwadi Party,74,0,74,0.06,Gujarat-Bapunagar -49,22.0
5,Istiyakahmed Siddiqui,Jan Sewa Driver Party,67,0,67,0.06,Gujarat-Bapunagar -49,23.0
6,Kiritbhai Govindbhai Chauhan,Right to Recall Party,66,0,66,0.05,Gujarat-Bapunagar -49,24.0
8,Tiwari Akash Rammilan,Jan Sangharsh Virat Party,58,1,59,0.05,Gujarat-Bapunagar -49,25.0
7,Chavada Jyotsanaben Somabhai,Sardar Vallabhbhai Patel Party,57,1,58,0.05,Gujarat-Bapunagar -49,26.0
21,Mahendrabhai Chavda,Independent,56,0,56,0.05,Gujarat-Bapunagar -49,27.0
23,Rasulbhai Dolubhai Rathod,Independent,48,1,49,0.04,Gujarat-Bapunagar -49,28.0
24,Rakesh Kanubhai Mahida,Independent,46,1,47,0.04,Gujarat-Bapunagar -49,29.0
9,Pathan Emtiazkhan Sidkhan,Janata Dal  (United),29,1,30,0.02,Gujarat-Bapunagar -49,30.0
1,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,Bharatiya Janata Party,118140,387,118527,66.14,Gujarat-Bardoli -169,1.0
2,Pannaben Anilbhai Patel,Indian National Congress,28478,101,28579,15.95,Gujarat-Bardoli -169,2.0
4,Rajendraprasad Solanki Alias Raju Morthana,Aam Aadmi Party,24445,265,24710,13.79,Gujarat-Bardoli -169,3.0
6,Nota,None of the Above,4203,8,4211,2.35,Gujarat-Bardoli -169,4.0
5,Rathod Dineshkumar Lallubhai,Independent,2070,4,2074,1.16,Gujarat-Bardoli -169,5.0
3,Sushilaben Rameshbhai Wagh,Bahujan Samaj Party,1092,1,1093,0.61,Gujarat-Bardoli -169,6.0
9,Dhavalsinh Narendrasinh Zala,Independent,66759,319,67078,38.87,Gujarat-Bayad -32,1.0
1,Bhikhiben Girvatsinh Parmar,Bharatiya Janata Party,60928,332,61260,35.5,Gujarat-Bayad -32,2.0
2,Mahendrasinh Shankersinh Vaghela,Indian National Congress,29579,295,29874,17.31,Gujarat-Bayad -32,3.0
5,Chunibhai Bababhai Patel,Aam Aadmi Party,5743,204,5947,3.45,Gujarat-Bayad -32,4.0
12,Nota,None of the Above,2302,2,2304,1.34,Gujarat-Bayad -32,5.0
3,Kantibhai Nathabhai Khant,Rashtriya Hind Ekta Dal,1664,0,1664,0.96,Gujarat-Bayad -32,6.0
11,Hasmukh M Saxena (Jannayak),Independent,1646,16,1662,0.96,Gujarat-Bayad -32,7.0
8,Mangalsinh Ramanbhai Khant,Garvi Gujarat Party,764,1,765,0.44,Gujarat-Bayad -32,8.0
10,Ramsibhai Lakhabhai Bharvad,Independent,761,1,762,0.44,Gujarat-Bayad -32,9.0
4,Khant Bhupatbhai Danlabhai,Gujarat Nav Nirman Sena,560,1,561,0.33,Gujarat-Bayad -32,10.0
6,Thakor Pokarsinh Pratapsinh,Log Party,376,1,377,0.22,Gujarat-Bayad -32,11.0
7,Pagi Laxmanbhai Revabhai,Insaniyat Party,324,2,326,0.19,Gujarat-Bayad -32,12.0
2,Thakor Sukhaji Somaji,Bharatiya Janata Party,69474,398,69872,42.96,Gujarat-Becharaji -23,1.0
1,Thakor Amrutji(Bhopaji) Babuji,Indian National Congress,58261,325,58586,36.02,Gujarat-Becharaji -23,2.0
10,Bhaveshkumar Narotambhai Patel,Independent,17079,99,17178,10.56,Gujarat-Becharaji -23,3.0
7,Sagarbhai Harjibhai Rabari,Aam Aadmi Party,10350,413,10763,6.62,Gujarat-Becharaji -23,4.0
11,Nota,None of the Above,2441,25,2466,1.52,Gujarat-Becharaji -23,5.0
5,Zala Narendrasinh Vajesinh,Garvi Gujarat Party,875,2,877,0.54,Gujarat-Becharaji -23,6.0
9,Thakor Shaileshsinh Kirtisinh,Independent,757,2,759,0.47,Gujarat-Becharaji -23,7.0
3,Dineshkumar Revabhai Rathod,Bahujan Samaj Party,724,8,732,0.45,Gujarat-Becharaji -23,8.0
4,Amitkumar Puskarray Patel(Netaji),Rashtrawadi Janlok Dal,506,10,516,0.32,Gujarat-Becharaji -23,9.0
6,Dr. P. C. Patel,Bharatiya Rashtravadi Paksha,453,5,458,0.28,Gujarat-Becharaji -23,10.0
8,Siddharajsinh Vajubha Zala,Jan Sewa Driver Party,447,2,449,0.28,Gujarat-Becharaji -23,11.0
2,Rameshbhai Narandas Mistry,Bharatiya Janata Party,108181,474,108655,63.24,Gujarat-Bharuch -153,1.0
1,Jaykantbhai Bahecharbhai Patel,Indian National Congress,44087,95,44182,25.71,Gujarat-Bharuch -153,2.0
3,Manharbhai Maganbhai Parmar,Aam Aadmi Party,14309,205,14514,8.45,Gujarat-Bharuch -153,3.0
8,Nota,None of the Above,2698,24,2722,1.58,Gujarat-Bharuch -153,4.0
6,Vasava Bhagatsinh Jesingbhai,Independent,606,5,611,0.36,Gujarat-Bharuch -153,5.0
7,Vasava Sureshbhai Gordhandas,Independent,606,1,607,0.35,Gujarat-Bharuch -153,6.0
4,Mansuri Sahilhushen Ismailbhai,Independent,315,0,315,0.18,Gujarat-Bharuch -153,7.0
5,Mirza Abidbeg Yasinbeg,Independent,213,0,213,0.12,Gujarat-Bharuch -153,8.0
4,Sejalben Rajivkumar Pandya,Bharatiya Janata Party,98223,484,98707,60.71,Gujarat-Bhavnagar East -104,1.0
3,Baldev Mavjibhai Solanki,Indian National Congress,35909,244,36153,22.23,Gujarat-Bhavnagar East -104,2.0
7,Hamir Rathod (Master),Aam Aadmi Party,19546,265,19811,12.18,Gujarat-Bhavnagar East -104,3.0
9,Nota,None of the Above,2769,27,2796,1.72,Gujarat-Bhavnagar East -104,4.0
1,Arun Mehta,Communist Party of India  (Marxist),1791,8,1799,1.11,Gujarat-Bhavnagar East -104,5.0
5,Dharamshibhai Ramjibhai Dhapa,Vyavastha Parivartan Party,1769,12,1781,1.1,Gujarat-Bhavnagar East -104,6.0
2,Kishorsinh Bharatsinh Gohil,Bahujan Samaj Party,534,7,541,0.33,Gujarat-Bhavnagar East -104,7.0
6,Mrudangrajsinh Mulrajsinh Chudasama,Right to Recall Party,511,4,515,0.32,Gujarat-Bhavnagar East -104,8.0
8,Harsh Jagdishbhai Goklani,Independent,493,0,493,0.3,Gujarat-Bhavnagar East -104,9.0
2,Parshottambhai O. Solanki,Bharatiya Janata Party,114974,1060,116034,63.61,Gujarat-Bhavnagar Rural -103,1.0
1,Gohil Revatsinh Batukbha(Hoidad),Indian National Congress,42096,454,42550,23.33,Gujarat-Bhavnagar Rural -103,2.0
4,Gohil Khumansinh Natubha,Aam Aadmi Party,16824,412,17236,9.45,Gujarat-Bhavnagar Rural -103,3.0
7,Nota,None of the Above,2882,35,2917,1.6,Gujarat-Bhavnagar Rural -103,4.0
5,Parmar Rajeshkumar P.,Rashtriya Hind Ekta Dal,1418,3,1421,0.78,Gujarat-Bhavnagar Rural -103,5.0
3,Makwana Ashokbhai Gobarbhai,Bahujan Samaj Party,1239,16,1255,0.69,Gujarat-Bhavnagar Rural -103,6.0
6,Hemantsinh Karansinh Gohil(Hembha),Independent,991,3,994,0.54,Gujarat-Bhavnagar Rural -103,7.0
2,Jitendrabhai Savajibhai Vaghani (Jitu Vaghani),Bharatiya Janata Party,84713,475,85188,52.7,Gujarat-Bhavnagar West -105,1.0
1,Kishorsinh Kumbhajibhai Gohil (K. K. Gohil),Indian National Congress,42791,475,43266,26.77,Gujarat-Bhavnagar West -105,2.0
7,Rajenbhai Shankarbhai Solanki (Raju Solanki),Aam Aadmi Party,26036,372,26408,16.34,Gujarat-Bhavnagar West -105,3.0
16,Nota,None of the Above,2374,43,2417,1.5,Gujarat-Bhavnagar West -105,4.0
15,Solanki Savitaben Rameshbhai,Independent,686,0,686,0.42,Gujarat-Bhavnagar West -105,5.0
3,Dineshbhai Lakhabhai Rathod,Bahujan Samaj Party,667,7,674,0.42,Gujarat-Bhavnagar West -105,6.0
10,Mansukhbhai Malubhai Solanki (Manalal),Independent,511,1,512,0.32,Gujarat-Bhavnagar West -105,7.0
5,Shekh Yunusbhai Mohamed Zakariya,Communist Party of India,461,0,461,0.29,Gujarat-Bhavnagar West -105,8.0
14,Solanki Rajeshbhai Shantilal (Rajubhai Solanki),Independent,370,1,371,0.23,Gujarat-Bhavnagar West -105,9.0
11,Yasminben Dilavrbhai Malek,Independent,301,0,301,0.19,Gujarat-Bhavnagar West -105,10.0
6,Baraiya Gobarbhai Kanjibhai,Vyavastha Parivartan Party,286,0,286,0.18,Gujarat-Bhavnagar West -105,11.0
4,Manharbhai Kanjibhai Rathod,Communist Party of India  (Marxist),250,1,251,0.16,Gujarat-Bhavnagar West -105,12.0
12,Rathod  Ashokbhai Gambhirbhai,Independent,224,0,224,0.14,Gujarat-Bhavnagar West -105,13.0
13,Sarfraj Rustambhai Kureshi,Independent,216,0,216,0.13,Gujarat-Bhavnagar West -105,14.0
8,Gopal Najabhai Boliya,Independent,204,0,204,0.13,Gujarat-Bhavnagar West -105,15.0
9,Jayaben Mehulbhai Boricha,Independent,184,1,185,0.11,Gujarat-Bhavnagar West -105,16.0
2,P.C.Baranda,Bharatiya Janata Party,89626,770,90396,43.62,Gujarat-Bhiloda -30,1.0
4,Rupsibhai Babubhai Bhagora,Aam Aadmi Party,60148,1480,61628,29.74,Gujarat-Bhiloda -30,2.0
1,Parghi Rajendrakumar Kantibhai,Indian National Congress,42351,480,42831,20.67,Gujarat-Bhiloda -30,3.0
3,Asari Amrutbhai Dharmabhai,Gujarat Nav Nirman Sena,3527,19,3546,1.71,Gujarat-Bhiloda -30,4.0
8,Nota,None of the Above,2908,8,2916,1.41,Gujarat-Bhiloda -30,5.0
5,Dr.Mark Katara,Bhartiya Tribal Party,2586,25,2611,1.26,Gujarat-Bhiloda -30,6.0
6,Varunkumar Kalyansinh Katara,Gunj Satya Ni Janata Party,1892,1,1893,0.91,Gujarat-Bhiloda -30,7.0
7,Pandor Kaushikkumar Shankarbhai,Independent,1401,1,1402,0.68,Gujarat-Bhiloda -30,8.0
2,Keshubhai Shivdas Patel,Bharatiya Janata Party,95746,836,96582,53.59,Gujarat-Bhuj -3,1.0
1,Arjan Bhudia,Indian National Congress,36495,273,36768,20.4,Gujarat-Bhuj -3,2.0
7,Sakil Mahamad Sama,All India Majlis-E-Ittehadul Muslimeen,31249,46,31295,17.36,Gujarat-Bhuj -3,3.0
6,Rajesh Kesara Pindoria,Aam Aadmi Party,7840,220,8060,4.47,Gujarat-Bhuj -3,4.0
11,Nota,None of the Above,3425,37,3462,1.92,Gujarat-Bhuj -3,5.0
10,Bhupendra Babulal Joshi,Independent,1113,3,1116,0.62,Gujarat-Bhuj -3,6.0
3,Saiyad Jusabsha Mamadsha,Bahujan Samaj Party,1032,11,1043,0.58,Gujarat-Bhuj -3,7.0
8,Osman Ishabhai Kumbhar,Independent,541,4,545,0.3,Gujarat-Bhuj -3,8.0
9,Theba Husen Mamad,Independent,467,0,467,0.26,Gujarat-Bhuj -3,9.0
4,Node Kasam Mohamad,Right to Recall Party,445,3,448,0.25,Gujarat-Bhuj -3,10.0
5,Mehulraj Bharatsinh Rathod,Praja Vijay Paksh,435,4,439,0.24,Gujarat-Bhuj -3,11.0
3,Solanki Ramanbhai Bhikhabhai,Bharatiya Janata Party,91320,452,91772,50.35,Gujarat-Borsad -109,1.0
2,Parmar Rajendrasinh Dhirsinh,Indian National Congress,80061,546,80607,44.23,Gujarat-Borsad -109,2.0
9,Nota,None of the Above,2090,3,2093,1.15,Gujarat-Borsad -109,3.0
1,Ahir Ankurbhai Kanubhai,Bahujan Samaj Party,2027,4,2031,1.11,Gujarat-Borsad -109,4.0
5,Patel Manishbhai Ramanbhai,Aam Aadmi Party,1964,39,2003,1.1,Gujarat-Borsad -109,5.0
8,Bhoi Ashishkumar Thakorbhai,Independent,1760,0,1760,0.97,Gujarat-Borsad -109,6.0
7,Parmar Kesharisinh Bharatsinh,Independent,883,1,884,0.49,Gujarat-Borsad -109,7.0
4,Sureshbhai Ravjibhai Thakor,Log Party,746,0,746,0.41,Gujarat-Borsad -109,8.0
6,Patel Dipenkumar Niranjanbhai,Independent,358,0,358,0.2,Gujarat-Borsad -109,9.0
6,Makwana Umeshbhai Naranbhai,Aam Aadmi Party,79524,1057,80581,43.04,Gujarat-Botad -107,1.0
1,Ghanshyambhai Pragjibhai Virani,Bharatiya Janata Party,77049,753,77802,41.56,Gujarat-Botad -107,2.0
3,Manharbhai Nagajibhai Patel,Indian National Congress,18775,283,19058,10.18,Gujarat-Botad -107,3.0
15,Nota,None of the Above,2405,28,2433,1.3,Gujarat-Botad -107,4.0
10,Chauhan Champaben Zaverbhai,Independent,2031,2,2033,1.09,Gujarat-Botad -107,5.0
2,Chauhan Mulshankarbhai Raghurambhai,Bahujan Samaj Party,1049,8,1057,0.56,Gujarat-Botad -107,6.0
14,Meghjibhai Vithalbhai Talsaniya,Independent,770,12,782,0.42,Gujarat-Botad -107,7.0
13,Mithapara Mukeshkumar Babubhai,Independent,584,2,586,0.31,Gujarat-Botad -107,8.0
12,Bavaliya Jayeshbhai Bhagvanbhai,Independent,556,2,558,0.3,Gujarat-Botad -107,9.0
5,Dhadhal Amirajsinh Jagubhai,Praja Vijay Paksh,476,1,477,0.25,Gujarat-Botad -107,10.0
4,Chauhan Kamleshbhai Arjanbhai,Vyavastha Parivartan Party,453,4,457,0.24,Gujarat-Botad -107,11.0
