O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
1,Patel Arvind Amrutlal (Bhuro),Indian National Congress,36845,248,37093,25.03,Gujarat-Unjha -21,2.0
3,Urvishkumar Babubhai Patel,Aam Aadmi Party,18060,401,18461,12.46,Gujarat-Unjha -21,3.0
8,Nota,None of the Above,1768,7,1775,1.2,Gujarat-Unjha -21,4.0
7,Arvindji Alkhaji Thakor,Independent,770,42,812,0.55,Gujarat-Unjha -21,5.0
5,Rabari Rameshbhai Sukhabhai,Garvi Gujarat Party,552,4,556,0.38,Gujarat-Unjha -21,6.0
4,Parmar Hasmukhbhai Virabhai,Bhartiya Jan Parishad,530,4,534,0.36,Gujarat-Unjha -21,7.0
6,Dr. Hiteshkumar Mahendrabhai Parmar,Nirbhay Bharteey Party,422,4,426,0.29,Gujarat-Unjha -21,8.0
1,Jignesh Mevani,Indian National Congress,93848,917,94765,48.0,Gujarat-Vadgam -11,1.0
2,Manibhai Jethabhai Vaghela,Bharatiya Janata Party,89052,785,89837,45.51,Gujarat-Vadgam -11,2.0
6,Dalpatbhai Dahyabhai Bhatiya,Aam Aadmi Party,4322,171,4493,2.28,Gujarat-Vadgam -11,3.0
12,Nota,None of the Above,2857,20,2877,1.46,Gujarat-Vadgam -11,4.0
7,Sundhiya Kalpeshkumar Rameshbhai,All India Majlis-E-Ittehadul Muslimeen,2233,1,2234,1.13,Gujarat-Vadgam -11,5.0
11,Maheswari Manjulaben Vanrajbhai,Independent,1194,1,1195,0.61,Gujarat-Vadgam -11,6.0
3,Solanki Rajanikant Hirabhai,Bahujan Samaj Party,644,4,648,0.33,Gujarat-Vadgam -11,7.0
10,Bhatiya Piyushbhai Bhikhabhai,Independent,458,1,459,0.23,Gujarat-Vadgam -11,8.0
8,Dattulbhai Somalal Joshi,Independent,287,3,290,0.15,Gujarat-Vadgam -11,9.0
9,Dineshkumar Aljibhai  Solanki,Independent,224,0,224,0.11,Gujarat-Vadgam -11,10.0
4,Jayshriben Dahyabhai Parmar,Pachchasi Parivartan Samaj Party,218,2,220,0.11,Gujarat-Vadgam -11,11.0
5,Dabhi Sharmishtaben Laljibhai,Janata Dal  (Secular),176,2,178,0.09,Gujarat-Vadgam -11,12.0
